Differentiable motif activity epsilon cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
42;M04816_2.00;13.66423;1.7223811;0.00000000000000000000000000000000000000000166;0.0000000000000000000000000000000000000000238;M04816_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
43;M10571_2.00;13.642511;1.2890904;0.00000000000000000000000000000000000000000224;0.0000000000000000000000000000000000000000316;M10571_2.00;;['Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxl1']
44;M03038_2.00;13.593787;1.4052725;0.00000000000000000000000000000000000000000436;0.0000000000000000000000000000000000000000613;M03038_2.00;;['Foxg1', 'Foxp1', 'Foxj3', 'Foxf2', 'Foxk2', 'Foxf1', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
45;M04843_2.00;13.545495;1.5704077;0.00000000000000000000000000000000000000000842;0.000000000000000000000000000000000000000118;M04843_2.00;;['Foxg1', 'Foxp1', 'Foxj3', 'Foxf2', 'Foxk2', 'Foxf1', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
46;M10804_2.00;13.529535;1.3142372;0.0000000000000000000000000000000000000000105;0.000000000000000000000000000000000000000146;M10804_2.00;;['Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Lhx1', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Dlx2', 'Msx3', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Lhx5', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'En2', 'Prrx2', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Hoxb2', 'Hoxd3', 'Hoxa3']
47;M01977_2.00;13.480235;1.4559469;0.0000000000000000000000000000000000000000204;0.000000000000000000000000000000000000000283;M01977_2.00;;['Foxj3', 'Foxk2', 'Foxi1', 'Foxk1']
48;M04834_2.00;13.365388;1.5864378;0.0000000000000000000000000000000000000000963;0.00000000000000000000000000000000000000131;M04834_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1', 'Foxs1']
49;M03029_2.00;13.3112955;1.570906;0.000000000000000000000000000000000000000199;0.00000000000000000000000000000000000000271;M03029_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
50;M04822_2.00;13.239187;1.5010687;0.000000000000000000000000000000000000000521;0.00000000000000000000000000000000000000701;M04822_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb1']
51;M08118_2.00;13.164302;1.6468439;0.00000000000000000000000000000000000000141;0.0000000000000000000000000000000000000188;M08118_2.00;;['Foxj2', 'Foxg1', 'Foxp4', 'Foxp1', 'Foxj3', 'Foxk2', 'Foxp3', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxi3', 'Foxk1']
52;M00791_2.00;13.136989;1.3661939;0.00000000000000000000000000000000000000202;0.000000000000000000000000000000000000027;M00791_2.00;Foxg1;['Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
53;M00836_2.00;13.106363;1.6018424;0.00000000000000000000000000000000000000303;0.0000000000000000000000000000000000000389;M00836_2.00;;['Foxp4', 'Foxp2', 'Foxp1', 'Foxj3', 'Foxk2', 'Foxp3', 'Foxc2']
54;M01986_2.00;13.089663;1.4927831;0.00000000000000000000000000000000000000377;0.0000000000000000000000000000000000000481;M01986_2.00;;['Foxg1', 'Foxj3', 'Foxk2', 'Foxc2', 'Foxi1', 'Foxi2', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
55;M03745_2.00;13.082876;1.3440104;0.00000000000000000000000000000000000000413;0.0000000000000000000000000000000000000525;M03745_2.00;;['Foxn3', 'Foxn2']
56;M03752_2.00;13.032651;1.1804982;0.00000000000000000000000000000000000000798;0.000000000000000000000000000000000000101;M03752_2.00;;['Foxf2', 'Foxf1', 'Foxd4', 'Foxd2', 'Foxd3', 'Foxe1', 'Foxd1', 'Gm5294', 'Foxl1']
57;M00793_2.00;12.989932;1.6434053;0.000000000000000000000000000000000000014;0.000000000000000000000000000000000000174;M00793_2.00;Foxp1;['Foxp4', 'Foxp2', 'Foxp1', 'Foxj3', 'Foxk2', 'Foxp3', 'Foxc2']
58;M03014_2.00;12.981253;1.4658533;0.0000000000000000000000000000000000000156;0.000000000000000000000000000000000000193;M03014_2.00;;['Foxg1', 'Foxp4', 'Foxf2', 'Foxk2', 'Foxf1', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
59;M06473_2.00;12.962537;1.5375;0.00000000000000000000000000000000000002;0.000000000000000000000000000000000000245;M06473_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
60;M08200_2.00;12.962537;1.5375;0.00000000000000000000000000000000000002;0.000000000000000000000000000000000000245;M08200_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
61;M06194_2.00;12.962537;1.5375;0.00000000000000000000000000000000000002;0.000000000000000000000000000000000000245;M06194_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
