moscot driver TFs Epsilon;Unnamed: 0;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
1094;Zscan26;-0.0143096356897657;0.302932404756323;0.676243824068209;-0.041513714372542;0.0129156438726663
1095;Smarca5;-0.0144170514130863;0.299316911914295;0.672572227664561;-0.0416209666250153;0.0128082237576827
1096;Grhl2;-0.0144199219849615;0.299220688164359;0.672572227664561;-0.0416238328197036;0.0128053530598237
1097;Zxdc;-0.0144232669262104;0.299108589225133;0.672572227664561;-0.0416271726598593;0.0128020079712057
1098;Mettl14;-0.0144284129372376;0.298936185786007;0.672572227664561;-0.0416323108219437;0.0127968617322692
1099;Pik3c3;-0.0144324520306377;0.298800913135078;0.672572227664561;-0.041636343753717;0.0127928224589732
1100;Zfp646;-0.0144385856224945;0.29859557208239;0.672572227664561;-0.0416424679870997;0.0127866885922352
1101;Bcl3;-0.0144494106337439;0.298233401020624;0.672572227664561;-0.0416532764768424;0.0127758630908562
1102;Zfp574;-0.0144707599801428;0.297519978515966;0.672572227664561;-0.0416745932204684;0.0127545127591061
1103;Sf3b1;-0.0145142871635779;0.296068982897395;0.672572227664561;-0.0417180538564433;0.0127109834898296
1104;Hoxb3;-0.0145178777624376;0.295949500624073;0.672572227664561;-0.0417216389611432;0.0127073927142997
1105;Zfp563;-0.0145180270244065;0.295944534418777;0.672572227664561;-0.0417217879947035;0.0127072434449714
1106;Zfp354b;-0.0145953274058819;0.293380107137008;0.671218123904366;-0.0417989699243903;0.0126299390891323
1107;Wdr83;-0.0147257755998892;0.289086401860656;0.664414713561021;-0.0419292174889261;0.0124994834501768
1108;Hnrnpa0;-0.0147343518422784;0.288805604937416;0.664414713561021;-0.0419377805086526;0.012490906685854
1109;Ssrp1;-0.014754960911077;0.288131589678686;0.664414713561021;-0.0419583577864999;0.0124702963464469
1110;Hltf;-0.0147903879763097;0.28697543477053;0.664414713561021;-0.0419937301490375;0.0124348670429709
1111;Zbtb6;-0.0148275677126977;0.285765452957142;0.662835382435153;-0.0420308524031046;0.0123976848840924
1112;Gm14322;-0.0148447697212991;0.285206796627927;0.662557327551031;-0.0420480277908537;0.0123804817291976
1113;D130040H23Rik;-0.0148974420909871;0.283500790173615;0.660626841299629;-0.042100618547784;0.0123278057493411
1114;Taf1a;-0.0148976096557892;0.283495373961631;0.660626841299629;-0.0421007858527138;0.0123276381728129
1115;Rbbp5;-0.0149288989716918;0.282485234406057;0.660298303333045;-0.0421320266159951;0.0122963466405081
1116;Ubp1;-0.0149325302915693;0.282368159585597;0.660298303333045;-0.0421356522975937;0.01229271505995
1117;Aff4;-0.0149561543757455;0.281607315096362;0.660290443781844;-0.0421592396836269;0.0122690892623424
1118;Prkaa1;-0.0150024429860792;0.280120564418011;0.657825897777912;-0.0422054563003557;0.0122227972066103
1119;Rps4x;-0.0150048727610068;0.280042669657921;0.657825897777912;-0.0422078822929897;0.0122203672476035
1120;Gtf2a1;-0.0150469250111173;0.278696871333529;0.656524611097706;-0.0422498690319169;0.0121783117606838
1121;Zfp184;-0.0150548499196838;0.278443743831853;0.656524611097706;-0.0422577815838888;0.0121703862313418
1122;Cnot6;-0.0150706453962175;0.277939691123783;0.656524611097706;-0.0422735524217829;0.0121545895073102
1123;Trim28;-0.0150776696423511;0.277715738558642;0.656524611097706;-0.0422805657067624;0.0121475647020492
1124;Fosl1;-0.0151177386798326;0.276440575014208;0.656329038162664;-0.0423205721662864;0.0121074924236975
1125;Hoxb4;-0.0151696359610951;0.274794926977979;0.654480031130518;-0.0423723882671305;0.0120555908148898
1126;Zfp239;-0.0151753188635958;0.27461513080016;0.654480031130518;-0.0423780622712509;0.0120499074295989
1127;Zfp59;-0.0153028536584354;0.270601291196724;0.647556180201352;-0.0425053969085024;0.0119223613373567
1128;Gzf1;-0.0153071323131989;0.270467331787896;0.647556180201352;-0.0425096688328735;0.011918082288218
1129;Esrrg;-0.0154010993227803;0.267536796324083;0.64328115039708;-0.0426034877800517;0.0118241063660206
1130;Zbtb34;-0.0154392467061018;0.266353349238469;0.64145702926649;-0.0426415749182038;0.0117859552272268
1131;Sox6;-0.0155240797651483;0.263734495007846;0.636164676456626;-0.0427262737191934;0.01170111353254
1132;Foxm1;-0.0155726464628505;0.262243226408062;0.633579635001879;-0.0427747633785193;0.0116525417145101
1133;Erf;-0.0155762316183273;0.26213337336638;0.633579635001879;-0.0427783428420045;0.0116489561759626
1134;Zbtb33;-0.0155843153325922;0.261885796237558;0.633579635001879;-0.0427864137195539;0.0116408715953911
1135;E2f7;-0.0156190249332507;0.260824593162395;0.633191536455332;-0.0428210681619732;0.0116061582345588
1136;Mxd4;-0.0156324892232678;0.260413740620062;0.633191536455332;-0.0428345110377962;0.0115926924682579
1137;Trip10;-0.0156397855788021;0.260191285005016;0.633191536455332;-0.0428417957847737;0.0115853953085937
1138;Setdb1;-0.0156541170827621;0.259754720409696;0.633191536455332;-0.042856104478782;0.0115710622167199
1139;Dpf2;-0.0156938911879594;0.258545783042915;0.632745757528042;-0.0428958152212483;0.0115312836459886
1140;Phf2;-0.0157747698040977;0.256099508092938;0.627776391591456;-0.0429765647274175;0.0114503956836493
1141;Zxdb;-0.0157755351064597;0.256076437586804;0.627776391591456;-0.0429773288063975;0.0114496302911485
1142;Zmat4;-0.0158156476289095;0.254869240917644;0.627776391591456;-0.0430173771620173;0.0114095129995098
1143;Arfgap1;-0.0158902132806063;0.252635693937467;0.624353351629419;-0.0430918233009311;0.0113349382494201
1144;Nfic;-0.0158935948761909;0.252534725491068;0.624353351629419;-0.0430951994693814;0.0113315562340392
1145;Zfp976;-0.0158985788735498;0.252385963425437;0.624353351629419;-0.0431001754667732;0.011326571616824
1146;Diablo;-0.015899491587602;0.252358727404914;0.624353351629419;-0.0431010867156539;0.0113256587891115
1147;Egr4;-0.0159328557697527;0.251364522502635;0.624353351629419;-0.0431343973075217;0.0112922904209751
1148;Zbtb43;-0.0159853407273099;0.249806080026327;0.623482943536783;-0.0431867978401875;0.011239798755756
1149;Nr5a2;-0.0159965613721487;0.249473781401742;0.623482943536783;-0.0431980004165949;0.0112285766574322
1150;Mycl;-0.0160930050126506;0.246630340995355;0.620739733622591;-0.0432942884733246;0.0111321202411398
1151;Zfp825;-0.0161063279329714;0.246239333941034;0.620739733622591;-0.0433075898612617;0.0111187955161154
1152;Zfp692;-0.0161852740561376;0.243931299582639;0.620739733622591;-0.0433864081945427;0.0110398385006269
1153;Stat6;-0.0162358944669612;0.242459399307491;0.618435292152555;-0.0434369464880763;0.0109892109269914
1154;Zfp992;-0.0164345607785021;0.236743116757772;0.610037724068663;-0.0436352891744626;0.0107905151552002
1155;Cenpb;-0.0164801679550555;0.235444399603975;0.607728279319662;-0.043680821754825;0.0107449009121217
1156;Nup133;-0.0165432188305785;0.233657265675037;0.605184341628312;-0.0437437693167282;0.0106818400806913
1157;Tfap2c;-0.0165477922480036;0.233528010197613;0.605184341628312;-0.0437483352318627;0.0106772659326872
1158;Klf10;-0.0165965240183293;0.232153882214784;0.604400624386766;-0.0437969869914268;0.0106285263069708
1159;Deaf1;-0.0166456835692849;0.230773514563939;0.602885825244894;-0.0438460656985473;0.0105793587005953
1160;Zfp626;-0.0166821573264362;0.229753130451714;0.601260358721125;-0.043882479389057;0.0105428788816819
1161;Spr;-0.0169985700226294;0.221035680995422;0.582484953408529;-0.0441983679694922;0.0102264105579644
1162;Gm14295;-0.0170192153641851;0.220475234532733;0.582023783469279;-0.0442189789244512;0.0102057613972778
1163;Tet1;-0.0170277232346382;0.220244573252241;0.582023783469279;-0.0442274726175753;0.0101972519462189
1164;Bptf;-0.0170391777419576;0.219934297569547;0.582023783469279;-0.0442389080311436;0.0101857953046344
1165;Socs4;-0.017085955607246;0.21867044991584;0.58132461157204;-0.0442856078474679;0.0101390086492484
1166;Trp53;-0.0170885320416296;0.218600991474904;0.58132461157204;-0.0442881799796115;0.0101364317272597
1167;Zfp575;-0.0171115351573845;0.217981549519921;0.58132461157204;-0.0443111446678008;0.0101134242420049
1168;Trim33;-0.0172412857629028;0.214511159419936;0.575331884057023;-0.0444406779817294;0.009983648450173
1169;Zfp69;-0.0172873454044331;0.213288847732104;0.573071459209035;-0.0444866602678487;0.0099375796472859
1170;Mrpl1;-0.0172932885451396;0.213131497895297;0.573071459209035;-0.0444925934188824;0.0099316353160583
1171;Zbtb8b;-0.0172998820852222;0.212957026202913;0.573071459209035;-0.0444991758738075;0.0099250404529159
1172;Zbtb46;-0.0173665330988031;0.211199158384379;0.570502198855838;-0.0445657147001157;0.0098583759321684
1173;Rxra;-0.0173729176887929;0.211031321963935;0.570502198855838;-0.0445720885308706;0.0098519900356076
1174;Zfp367;-0.0174724323864669;0.208427760005777;0.568097324203474;-0.0446714352413218;0.0097524546857441
1175;Zfp623;-0.0175122122776831;0.207393553053341;0.566300660236068;-0.0447111478310137;0.0097126663881113
1176;Rnf138;-0.0175292478585913;0.206951798041116;0.566118143192183;-0.0447281545640216;0.0096956271808243
1177;Smarcc1;-0.0175370015841048;0.206750959973273;0.566118143192183;-0.044735895154225;0.009687871799533
1178;Prkaa2;-0.0175839375834235;0.20553823605122;0.564295884431531;-0.0447827515712198;0.0096409257072941
1179;Nnt;-0.0175936640830824;0.205287572176913;0.564295884431531;-0.044792461564145;0.0096311971010773
1180;Aggf1;-0.0177608829980791;0.20101281754541;0.553885683382427;-0.0449593958901382;0.0094639411639618
