moscot driver genes epsilon cells;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
Mageb18;0.139078842875422;0.00000000000000000000000698;0.00000000000000000000113;0.112283673226727;0.165671897482822
Wnk4;0.137618303255906;0.0000000000000000000000207;0.00000000000000000000332;0.110813161084199;0.164223370545327
Sytl5;0.13688188004603;0.0000000000000000000000355;0.00000000000000000000567;0.110071754103593;0.163492960771963
Sfxn2;0.136627453427322;0.0000000000000000000000428;0.00000000000000000000678;0.109815612577948;0.163240604952574
Abhd15;0.136417337355527;0.0000000000000000000000499;0.00000000000000000000784;0.109604082949548;0.163032196407352
Slc39a14;0.135680117630072;0.0000000000000000000000856;0.0000000000000000000131;0.108861922785135;0.162300948975654
Sgce;0.134816129572998;0.00000000000000000000016;0.0000000000000000000242;0.107992182806985;0.16144392296027
Tmem59;0.134294196579894;0.000000000000000000000233;0.000000000000000000035;0.107466794986742;0.160926176258704
Pde3b;0.134018371245235;0.000000000000000000000285;0.0000000000000000000424;0.107189149934837;0.160652557328807
Ank3;0.13400130619399;0.000000000000000000000288;0.0000000000000000000426;0.107171972436867;0.160635628651254
Col8a2;0.133328257500456;0.000000000000000000000467;0.0000000000000000000685;0.106494501597177;0.159967946063814
Sorcs1;0.131893713258157;0.0000000000000000000013;0.000000000000000000189;0.105050615076181;0.15854475785543
Cd177;0.131848026458376;0.00000000000000000000134;0.000000000000000000193;0.105004632606675;0.158499430898421
Glud1;0.130795670946516;0.00000000000000000000281;0.000000000000000000403;0.103945498371567;0.157455332955001
Tmem117;0.130735950052418;0.00000000000000000000293;0.000000000000000000417;0.10388539461269;0.15739607888844
Gm20554;0.13072489545319;0.00000000000000000000295;0.000000000000000000417;0.103874269165024;0.157385110679979
Gm21798;0.130507831618682;0.00000000000000000000343;0.000000000000000000483;0.103655815539302;0.157169741848588
Dlgap2;0.130175538643424;0.00000000000000000000433;0.000000000000000000604;0.103321400015598;0.156840038762354
4921531P14Rik;0.129528298745831;0.00000000000000000000679;0.000000000000000000935;0.102670043249564;0.156197826385021
Abca1;0.128372554341285;0.0000000000000000000151;0.00000000000000000206;0.101507004838028;0.155051003291082
Apom;0.128171305085585;0.0000000000000000000173;0.00000000000000000235;0.101304492986947;0.154851300148545
Itm2b;0.128079867068569;0.0000000000000000000185;0.00000000000000000249;0.101212482042722;0.154760563890873
Kcnh8;0.127928622254772;0.0000000000000000000205;0.00000000000000000274;0.101060290576517;0.154610478847642
Trim2;0.127078224224061;0.0000000000000000000366;0.00000000000000000487;0.100204593254199;0.153766578882508
Sstr1;0.126947518005346;0.00000000000000000004;0.00000000000000000529;0.100073076058665;0.153636867964762
Gde1;0.125394723903785;0.000000000000000000114;0.000000000000000015;0.0985107193702639;0.152095827695681
4933406I18Rik;0.12400786677055;0.000000000000000000288;0.0000000000000000377;0.0971154335765892;0.150719358576515
Rtl4;0.122799330688198;0.000000000000000000641;0.0000000000000000831;0.0958996387713779;0.149519790367253
Pak6;0.122613330375665;0.000000000000000000724;0.0000000000000000933;0.0957125284283949;0.149335163274636
Fnip2;0.122321562520936;0.000000000000000000877;0.000000000000000112;0.0954190231633918;0.149045545756072
Dennd11;0.122199525488197;0.00000000000000000095;0.000000000000000121;0.0952962608156825;0.148924406779268
Rbp4;0.121946023994793;0.00000000000000000112;0.000000000000000142;0.095041255276797;0.148672768209275
Neurl1a;0.121745772011111;0.00000000000000000128;0.00000000000000016;0.0948398176777274;0.14847398538368
Rapgef4;0.121498278705778;0.0000000000000000015;0.000000000000000186;0.0945908621035241;0.148228304840225
Gnptg;0.121442608924274;0.00000000000000000156;0.000000000000000192;0.0945348638709543;0.148173042356868
Slco2a1;0.121188184452082;0.00000000000000000184;0.000000000000000225;0.0942789404647044;0.147920477211663
3930402G23Rik;0.121045627237256;0.00000000000000000201;0.000000000000000245;0.0941355449330358;0.147778960276824
Adcy8;0.120690429825105;0.00000000000000000253;0.000000000000000307;0.0937782636165547;0.147426350078021
Serpina1a;0.120515845532477;0.00000000000000000284;0.000000000000000341;0.0936026575977437;0.147253034944324
Stc2;0.120111724777825;0.00000000000000000368;0.00000000000000044;0.0931961782162606;0.14685184568909
Gch1;0.119814029819172;0.00000000000000000445;0.00000000000000053;0.0928967515175809;0.146556304587727
Rev3l;0.119776744303937;0.00000000000000000456;0.000000000000000539;0.0928592494495099;0.146519288501064
Abcc12;0.119468146877037;0.00000000000000000556;0.000000000000000653;0.092548862632506;0.146212918152528
Cck;0.119356184189861;0.00000000000000000597;0.000000000000000698;0.0924362520274242;0.146101762206584
Wwp1;0.117827138525516;0.0000000000000000158;0.00000000000000183;0.0908984268313431;0.144583666408572
Th;0.117709668752838;0.000000000000000017;0.00000000000000196;0.0907802878783958;0.144467032654959
Fhl2;0.11677141158842;0.0000000000000000306;0.00000000000000345;0.0898367130254365;0.143535426274364
Gria2;0.116734598691911;0.0000000000000000313;0.00000000000000351;0.0897996924730276;0.143498873356952
Ctsf;0.116093607535793;0.0000000000000000466;0.00000000000000518;0.0891550975148639;0.142862397286427
Pam;0.115819177429139;0.0000000000000000552;0.0000000000000061;0.0888791313964726;0.142589893472681
Pla2g12a;0.114872220266738;0.0000000000000000991;0.0000000000000108;0.0879269057821267;0.141649552072663
