moscot driver TFs Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Six5;-0.0213344720089634;0.124533789931986;0.383767393463876;-0.0485265399752781;0.00588919678832094
E2f7;-0.0214483681489118;0.122534703746713;0.379808715226491;-0.0486402192999133;0.00577525238238592
Zfp39;-0.0214639343864311;0.122263445569278;0.379808715226491;-0.0486557558504655;0.0057596794934215
Zmat4;-0.0214949099193355;0.121725059876122;0.379762066968893;-0.0486866722696019;0.005728690685406
Bcl3;-0.0215185085580047;0.121316136977998;0.379269910635149;-0.0487102258376136;0.00570508189803201
Dnmt1;-0.0215444357673622;0.120868103210058;0.378653186404955;-0.0487361034941487;0.00567914350356889
AU041133;-0.0215499317604032;0.120773296457108;0.378653186404955;-0.0487415889784016;0.00567364513482798
Zfp57;-0.0215506495849574;0.120760918165845;0.378653186404955;-0.0487423054302955;0.00567292699986512
Bptf;-0.0216440313167078;0.119159072891764;0.376423012691558;-0.0488355083541945;0.00557950464764865
Nfe2l1;-0.0216990380267264;0.118223321923025;0.374249928938719;-0.0488904095154384;0.00552447378764751
Phf1;-0.0217069077182203;0.118089918450351;0.374249928938719;-0.0488982640928612;0.0055166006275847
Odc1;-0.0217276215309147;0.117739351417484;0.374249928938719;-0.0489189381077376;0.00549587766913807
Scx;-0.0217829275708189;0.116807333773549;0.372107751050757;-0.0489741377730041;0.00544054709544269
Zxdb;-0.0218050891082134;0.11643549684104;0.371857137953859;-0.0489962566386838;0.00541837568039723
Pknox2;-0.0219034065932491;0.114797076854455;0.370392277885102;-0.0490943844932298;0.00532001405136719
E2f1;-0.0220061436084257;0.113104436562083;0.366497208602458;-0.0491969227928851;0.00521723034500829
Nr4a2;-0.0220302554752302;0.112710044598706;0.366004660954938;-0.0492209879391005;0.00519310743667267
Got1;-0.0220601085681845;0.112223247045819;0.36520927379135;-0.0492507831431827;0.00516324062921268
Gm17655;-0.022080929227347;0.111884718440764;0.364894006145907;-0.0492715633998432;0.00514241037629345
