moscot driver TFs delta;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Mbd1;0.0092210127441039;0.50681598941475;0.799678311406764;-0.0180037549332524;0.0364321171122533
Stat5a;0.0091891373589748;0.508286027912399;0.800989525509742;-0.018035622668413;0.0364002813007768
Zfp748;0.00912801736448776;0.51111101837999;0.803935039326859;-0.018096727839621;0.0363392370329709
Zfp449;0.00910368124611253;0.512238121235109;0.804639169374476;-0.0181210579992091;0.0363149310101263
Rfxap;0.00906556774319818;0.514005910020011;0.805133738724291;-0.0181591621051044;0.0362768645760052
Zbtb37;0.0090155607643816;0.516330147236384;0.80569940841729;-0.0182091566345737;0.0362269192342208
Gm4924;0.00901188204307971;0.516501342614527;0.80569940841729;-0.018212834434674;0.0362232450418274
Zfp169;0.00896623175019147;0.518628198740466;0.807196476410867;-0.0182584732348148;0.0361776508882386
Lcorl;0.00893689543155152;0.519997367311593;0.807196476410867;-0.0182878021079732;0.0361483505866921
Supt20;0.00893397246420277;0.520133888442234;0.807196476410867;-0.0182907243309137;0.0361454312053966
Ncor1;0.00887798945732971;0.522752210705155;0.809737605827873;-0.0183466929905224;0.0360895167918491
Phlda2;0.00886458650790211;0.523380068402652;0.809737605827873;-0.0183600924797428;0.0360761302391433
Hmgxb4;0.00878997306765076;0.526882372104903;0.8108474282848;-0.0184346864784644;0.0360016078999891
Zbtb32;0.00873755620203668;0.529349915699058;0.812315419416238;-0.0184870895049203;0.0359492548530413
Zfp809;0.00866512709242119;0.532769184333358;0.813657115808495;-0.0185594992455914;0.0358769136816505
Zfp65;0.00863095561154016;0.534386237751192;0.814719721311528;-0.0185936614892058;0.0358427835903165
Zfp950;0.0086043034550023;0.535649180399288;0.814719721311528;-0.0186203063969831;0.0358161636716268
Zfp37;0.00846779969134803;0.542141038848158;0.818632968660719;-0.0187567724286122;0.0356798244144894
Foxn2;0.00839849655714159;0.545451911197498;0.820078620866995;-0.018826056017996;0.0356106044127629
Kdm4c;0.00839163314478509;0.545780347286517;0.820078620866995;-0.0188329174805086;0.0356037492191939
Gm14399;0.0083514837563171;0.547703585063459;0.822099814558472;-0.018873055411461;0.0355636478574423
E2f2;0.00826835542258768;0.551696218894722;0.823466600650087;-0.0189561597437499;0.0354806186833094
Foxa2;0.00826554101503078;0.551831643983877;0.823466600650087;-0.0189589733321263;0.0354778076263426
Bad;0.00822420614178947;0.553822494607518;0.823913267839755;-0.0190002961244878;0.0354365219132216
