moscot driver TFs Eps. progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Zfp740;-0.0124625335558754;0.369625138356111;0.655154947529836;-0.0396693251674129;0.0147627232170826
Zfp551;-0.0125556835106503;0.366057809751598;0.651056881890357;-0.0397623427475283;0.0146695788603134
Hoxb4;-0.0126038964614742;0.36421987873606;0.648551906711616;-0.0398104869981184;0.0146213686213564
Zfp984;-0.0126326766211198;0.363125500707888;0.647509622060335;-0.0398392260877492;0.0145925900201942
E4f1;-0.0126375645740362;0.362939838756682;0.647509622060335;-0.0398441070609618;0.014587702327486
Pax1;-0.0126609598991024;0.362052023320629;0.647509622060335;-0.0398674689609258;0.0145643082298435
Mylk;-0.0126695314695781;0.361727086594542;0.647509622060335;-0.0398760282776797;0.0145557371016102
Pde6h;-0.0127446761596088;0.358886279461462;0.643608410910698;-0.0399510653716405;0.0144805961173126
Zfp429;-0.0128206149642018;0.356029735897183;0.640005834767556;-0.0400268951313644;0.01440466074522
Mterf1a;-0.0128235784723294;0.355918550736491;0.640005834767556;-0.0400298543776679;0.0144016973646787
Zfp112;-0.012838267007539;0.355367788113494;0.640005834767556;-0.0400445217822343;0.0143870094547872
Zfp24;-0.0128530727613528;0.354813174558458;0.640005834767556;-0.0400593062249112;0.0143722043193912
Adnp;-0.0128592283255119;0.354582752125308;0.640005834767556;-0.0400654529253556;0.014366049008829
Xpa;-0.0130777405336421;0.346464393938106;0.628044699695726;-0.0402836491525567;0.0141475444662307
Pbx3;-0.0131182509171686;0.344972419902998;0.62609177169895;-0.0403241006706827;0.0141070352181143
Nf1;-0.0131734174395548;0.342947266126929;0.62316530908744;-0.0403791868875063;0.0140518700981949
Zdhhc24;-0.0133093114993522;0.337991090847141;0.616384718815439;-0.0405148824217063;0.0139159787861693
Eno1b;-0.0133849207840678;0.335253566843316;0.612131663764701;-0.0405903808154483;0.0138403705948244
Zfp317;-0.0133850584019268;0.335248597276188;0.612131663764701;-0.0405905182311893;0.0138402329786716
Zfp217;-0.0134144129888897;0.334189647519764;0.611668324551326;-0.0406198296818484;0.0138108787320798
Zfp846;-0.0134482312292239;0.332972349619051;0.610179912530057;-0.0406535981685333;0.0137770608256998
Bach2;-0.0134571189773521;0.332652907816675;0.610179912530057;-0.040662472830627;0.0137681731550024
Tfap2b;-0.0134615426638434;0.332493986254775;0.610179912530057;-0.0406668900022246;0.0137637495054472
Zfp955a;-0.0134660271724586;0.332332929691599;0.610179912530057;-0.0406713679052861;0.0137592650331881
Arx;-0.0135027639629524;0.331015462317271;0.610179912530057;-0.0407080505423877;0.0137225284992857
Hp1bp3;-0.013537279946645;0.329780719543768;0.609509041017246;-0.0407425155795394;0.0136880126897046
Zfp759;-0.0135423045842541;0.329601221763272;0.609509041017246;-0.0407475327952472;0.0136829880720316
Zfp518a;-0.0135425803279908;0.329591373055687;0.609509041017246;-0.0407478081316427;0.0136827123293491
Zfp536;-0.0135668930869295;0.328723746146079;0.609509041017246;-0.0407720849584171;0.0136583996470878
Elf3;-0.0135737940068573;0.328477749342338;0.609509041017246;-0.040778975673527;0.0136514987430587
Trip10;-0.0135832448645382;0.32814104868422;0.609509041017246;-0.0407884125514402;0.0136420479029428
Zfp97;-0.013755863116379;0.322030664254475;0.604703640298738;-0.0409607746113796;0.0134694291161168
E430018J23Rik;-0.0137619495705701;0.321816577960537;0.604703640298738;-0.0409668520027894;0.0134633426134443
E2f4;-0.0138305136701324;0.319411306487641;0.602888840995423;-0.0410353138707702;0.0133947778283609
Rfx7;-0.0138854110239513;0.317493971269324;0.600019895640399;-0.0410901291864794;0.0133398797411021
Rarg;-0.0140299378251914;0.312482393363721;0.592030632345318;-0.0412344392250989;0.013195350224098
Smad6;-0.014063745716063;0.311317638207317;0.590859325818774;-0.0412681962467808;0.0131615415337714
Zfp780b;-0.0141102164336374;0.309721298267316;0.589016574790488;-0.0413145969406321;0.0131150696157148
Etv3;-0.0141545754124084;0.308202550650518;0.587087028738033;-0.0413588889682567;0.0130707093812958
Pqbp1;-0.0142385010988293;0.305342626267171;0.585110870131255;-0.041442687692867;0.012986781026046
Pou2f1;-0.0142682409151609;0.304333422868594;0.583918003216743;-0.0414723824273071;0.0129570401719372
Nup107;-0.0143272978029793;0.302335932221007;0.581563385546141;-0.0415313496496991;0.0128979810805112
Mybl1;-0.0143489689239292;0.301605138066667;0.580897651123301;-0.0415529878200931;0.0128763091032988
Ckmt1;-0.0144031914144969;0.299781799957687;0.578123266840494;-0.0416071277545228;0.0128220843582458
Mesp2;-0.014554689094409;0.294726412345493;0.569100872943344;-0.0417583939257995;0.0126705795305786
Zfp979;-0.0146025578382889;0.293141003333309;0.567490916709355;-0.041806189260588;0.0126227082683317
Stat5b;-0.0146386495406654;0.291949439092107;0.567366348814776;-0.0418422255322245;0.0125866145846543
