moscot driver genes Alpha;Alpha_pull_corr;Alpha_pull_pval;Alpha_pull_qval;Alpha_pull_ci_low;Alpha_pull_ci_high
Anp32b;-0.0954272512615479;0.00000000000556;0.0000000000633;-0.122329741976052;-0.0683846352452538
Dnm1;-0.0955111296440698;0.00000000000533;0.0000000000607;-0.122413124276112;-0.0684688888084273
Prodh2;-0.095606815489063;0.00000000000508;0.000000000058;-0.122508243741973;-0.0685650031188262
Chmp5;-0.0956392332304542;0.00000000000499;0.0000000000571;-0.122540469485721;-0.0685975661353511
Tbca;-0.0957007336035993;0.00000000000484;0.0000000000554;-0.122601605460247;-0.0686593422713229
Slc39a2;-0.0957355575695669;0.00000000000475;0.0000000000544;-0.122636222998641;-0.0686943224771661
Cbx2;-0.0957953119912006;0.00000000000461;0.0000000000528;-0.122695623058805;-0.0687543451456345
Klhdc2;-0.0960075156990952;0.00000000000413;0.0000000000474;-0.122906566778169;-0.0689675030508543
Trp53i11;-0.0960902607756775;0.00000000000396;0.0000000000455;-0.122988819885888;-0.0690506208688421
Padi1;-0.0961788055828379;0.00000000000378;0.0000000000435;-0.123076837832006;-0.0691395649592235
mt-Co1;-0.096230393015987;0.00000000000369;0.0000000000424;-0.123128118113507;-0.0691913852185002
Galr1;-0.0962406685820874;0.00000000000367;0.0000000000422;-0.123138332481717;-0.0692017071780561
C2cd4c;-0.0965440283774006;0.00000000000313;0.0000000000363;-0.123439882998243;-0.0695064392298277
Gm31218;-0.096552803372369;0.00000000000312;0.0000000000361;-0.123448605584039;-0.0695152539938198
Msrb2;-0.0966319157237468;0.000000000003;0.0000000000347;-0.123527245244623;-0.0695947250797258
Ctnna1;-0.0967442118149251;0.00000000000283;0.0000000000328;-0.123638869794411;-0.0697075309662087
Anp32a;-0.0967842263637524;0.00000000000277;0.0000000000322;-0.123678644887928;-0.0697477273378632
Pla2g2f;-0.0968056224380194;0.00000000000274;0.0000000000319;-0.123699912888217;-0.0697692206701597
Rgs12;-0.096826730738002;0.00000000000271;0.0000000000316;-0.123720894812587;-0.0697904249446624
Rpl8;-0.0968368420649984;0.00000000000269;0.0000000000314;-0.123730945594444;-0.0698005822541604
Retreg1;-0.0969615582008739;0.00000000000253;0.0000000000295;-0.123854914494663;-0.0699258660129953
Ttyh1;-0.0969926923829978;0.00000000000248;0.0000000000291;-0.12388586200566;-0.0699571420297564
Acer2;-0.0970236033777871;0.00000000000245;0.0000000000286;-0.12391658761573;-0.0699881938950143
Lzts1;-0.0972409255845295;0.00000000000218;0.0000000000257;-0.124132605004683;-0.0702065079818337
Cdc26;-0.0972805547022025;0.00000000000214;0.0000000000252;-0.124171995911565;-0.0702463182499063
Atp5pb;-0.0974025849720016;0.00000000000201;0.0000000000236;-0.124293292124563;-0.0703689068785011
H19;-0.0974586770958345;0.00000000000195;0.000000000023;-0.124349046564098;-0.0704252559300555
