moscot driver genes epsilon progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Ddo;-0.0132950169914148;0.338510249193969;0.686964621395757;-0.0405006088436297;0.013930273052403
Csrnp3;-0.0132961110154104;0.338470497559457;0.686953297570698;-0.0405017012661599;0.0139291790472993
Gm15816;-0.0133004915963209;0.338311358074581;0.686718117281288;-0.0405060754339917;0.0139247985413809
Gm41541;-0.0133018251344848;0.338262922306792;0.686718117281288;-0.0405074070196766;0.0139234650258387
Gm17634;-0.0133083060874642;0.33802758940565;0.686470212124637;-0.0405138784822943;0.0139169841814207
Zdhhc24;-0.0133093114993522;0.337991090847141;0.686465437391401;-0.0405148824217063;0.0139159787861693
Tmem178;-0.0133098312660305;0.33797222321969;0.686465437391401;-0.0405154014271387;0.01391545902807
Cpsf3;-0.0133119963375396;0.337893637995313;0.686406204993915;-0.0405175633275447;0.0139132939921381
Capn11;-0.0133147721523657;0.337792901893219;0.686340277618698;-0.0405203350763609;0.0139105182225517
Rnf123;-0.0133185569215929;0.337655581267531;0.686130612576688;-0.0405241143009884;0.013906733514332
2600006K01Rik;-0.0133186648896471;0.337651664450202;0.686130612576688;-0.0405242221108605;0.0139066255480066
Myl6b;-0.0133199526819446;0.337604948740553;0.686130612576688;-0.040525508016387;0.0139053377762818
E130309D02Rik;-0.0133217519282688;0.337539686573855;0.686103166753712;-0.0405273046264474;0.0139035385585496
Gm16189;-0.0133305784450383;0.337219649027144;0.685729982236767;-0.0405361182080166;0.0138947121794895
Ankfn1;-0.0133306863686596;0.337215737069767;0.685729982236767;-0.0405362259734504;0.0138946042575257
Prx;-0.0133334379587491;0.337116008761569;0.685727322081739;-0.0405389735302215;0.0138918527094823
Gm33321;-0.0133351018175063;0.337055713256722;0.685674054199543;-0.0405406349498722;0.0138901888759499
Pus7l;-0.0133417973548334;0.33681314806198;0.685319303187247;-0.0405473206704652;0.0138834934386058
Ormdl1;-0.0133433493446491;0.336756938768396;0.685274292950812;-0.0405488703844666;0.013881941471617
Gm10406;-0.0133472228249432;0.33661667704919;0.68505821610851;-0.040552738184177;0.0138780680477225
Gm10135;-0.0133483443352837;0.33657607330489;0.685044932838737;-0.0405538580496342;0.0138769465535592
Gm42669;-0.0133517640921762;0.336452282088232;0.684862315392844;-0.0405572727904568;0.013873526845572
Lgalsl;-0.0133641552725223;0.336003981071461;0.68401904116249;-0.0405696457902036;0.0138611358370949
Gm14798;-0.0133673706515139;0.335887714571536;0.683913621365263;-0.0405728564501604;0.013857920501335
Gm42413;-0.0133733083184651;0.335673079544051;0.683622319731948;-0.0405787854012478;0.0138519829127377
Rad18;-0.0133734490517783;0.335667993381568;0.683622319731948;-0.0405789259279562;0.0138518421812582
Rab1b;-0.0133755215172734;0.335593099330141;0.683597940605313;-0.0405809953508254;0.0138497697426437
Peli3;-0.0133785345437526;0.335484234792349;0.683494185811878;-0.040584003953407;0.013846756754827
Chrnb4;-0.0133789874458627;0.335467872819717;0.683494185811878;-0.0405844561904977;0.0138463038584858
Mcl1;-0.0133794447196048;0.335451353434485;0.683494185811878;-0.04058491279279;0.0138458465905568
Pxt1;-0.013379842269313;0.335436992053994;0.683494185811878;-0.0405853097587364;0.0138454490458933
Tmem9b;-0.0133844067758617;0.335272128794652;0.683494185811878;-0.0405898675621517;0.0138408845966485
Eno1b;-0.0133849207840678;0.335253566843316;0.683494185811878;-0.0405903808154483;0.0138403705948244
Gm14698;-0.0133850433644644;0.335249140296995;0.683494185811878;-0.0405905032158124;0.0138402480159476
Zfp317;-0.0133850584019268;0.335248597276188;0.683494185811878;-0.0405905182311893;0.0138402329786716
Lnx2;-0.0133857100789328;0.335225064981658;0.683494185811878;-0.04059116895107;0.0138395813097313
Gm27021;-0.0133864947406099;0.335196731973377;0.683494185811878;-0.0405919524602751;0.013838796657735
Sowahb;-0.013389671589011;0.335082036290871;0.683494185811878;-0.0405951246423374;0.013835619848186
Slc23a4;-0.0133949656982265;0.33489095601537;0.683275437813559;-0.0406004109740404;0.013830325802495
Gm9926;-0.0133985985990083;0.334759874344513;0.68307731972673;-0.0406040385368899;0.0138266929444216
Isoc1;-0.0134016360116293;0.334650304341597;0.68306173907799;-0.0406070714859972;0.0138236555669567
Gm14261;-0.0134016925894866;0.33464826360136;0.68306173907799;-0.0406071279807079;0.0138235989897495
Ptger4;-0.0134017609458295;0.334645798026649;0.68306173907799;-0.0406071962365944;0.0138235306341918
Lrmp;-0.0134052841392645;0.334518734273906;0.68306173907799;-0.040610714252003;0.0138200074808822
Hbb-bs;-0.0134070922305395;0.334453537645749;0.68306173907799;-0.04061251968567;0.013818199409937
Mettl18;-0.0134079285538874;0.334423384049314;0.68306173907799;-0.0406133547796949;0.0138173630959323
Ccdc65;-0.0134121151404414;0.334272463215884;0.682895008549293;-0.0406175352117571;0.0138131765555772
Pgm2;-0.0134130201555649;0.33423984440458;0.682895008549293;-0.0406184388963379;0.013812271550315
Zfp217;-0.0134144129888897;0.334189647519764;0.682895008549293;-0.0406198296818484;0.0138108787320798
Gm9993;-0.013417083816014;0.334093406090746;0.682826326010803;-0.040622496581892;0.0138082079335951
Robo1;-0.0134197159348039;0.333998576970864;0.68270192098071;-0.0406251248301373;0.0138055758426496
Gm19705;-0.0134284035325523;0.333685706188046;0.68227051988388;-0.040633799650055;0.0137968883341271
Gm9869;-0.0134291710704157;0.333658073554031;0.68227051988388;-0.0406345660588167;0.013796120803949
Trib2;-0.0134303835413505;0.333614425599488;0.682263560307886;-0.0406357767460569;0.0137949083450893
Coq5;-0.0134384263350614;0.333324984885923;0.681806259937623;-0.040643807705802;0.0137868656294504
Zfp846;-0.0134482312292239;0.332972349619051;0.681158353962734;-0.0406535981685333;0.0137770608256998
Aqp1;-0.0134491974241283;0.332937613233103;0.681158353962734;-0.0406545629410514;0.0137760946394213
Adam4;-0.0134522098121863;0.332829327659528;0.681158353962734;-0.0406575708940887;0.013773082277931
Map4k1;-0.0134543020873206;0.332754130537404;0.681158353962734;-0.0406596600885584;0.0137709900209586
Snrpn;-0.0134550103789762;0.332728676764817;0.681158353962734;-0.040660367337272;0.0137702817353972
Nek10;-0.0134553371571562;0.332716933809324;0.681158353962734;-0.0406606936342699;0.0137699549600197
Bach2;-0.0134571189773521;0.332652907816675;0.681158353962734;-0.040662472830627;0.0137681731550024
