moscot driver genes delta cells;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Fam183b;0.12639234094007;5.83E-20;7.61E-18;0.0995144648198752;0.153085908207726
Myh14;0.126373366266219;5.91E-20;7.66E-18;0.0994953730732911;0.153067077378475
Gm28494;0.12635819195406;5.97E-20;7.69E-18;0.0994801051506716;0.153052018086906
Dlgap1;0.126335861498242;6.06E-20;7.76E-18;0.0994576369610976;0.153029856872371
Tm6sf1;0.126183809395647;6.71E-20;8.54E-18;0.0993046477332145;0.152878956450379
Cacna1c;0.125280254737733;1.23E-19;1.55E-17;0.0983955505125155;0.151982219862705
Exoc6;0.125068910302776;1.42E-19;1.77E-17;0.0981829161289514;0.151772463853168
Arhgap29;0.125068211189009;1.42E-19;1.77E-17;0.0981822127521915;0.151771769989819
Igfbp7;0.12480927534024;1.69E-19;2.09E-17;0.0979216998350775;0.151514776966301
Tnr;0.124782971380946;1.72E-19;2.11E-17;0.0978952358757086;0.151488670166605
Gm42439;0.124535855950587;2.03E-19;2.47E-17;0.0976466191637471;0.151243405154498
Jade1;0.123551124715441;3.90E-19;4.70E-17;0.0966559387976219;0.150266014996109
Kcnd2;0.123088069787767;5.30E-19;6.34E-17;0.0961901048018797;0.149806394046383
4930587E11Rik;0.122508477277202;7.76E-19;9.23E-17;0.0956070504154655;0.149231083473838
Dpp10;0.12213286230648;9.92E-19;1.17E-16;0.0952292017735706;0.14885823382517
Ocrl;0.122035280154088;1.06E-18;1.24E-16;0.09513104059757;0.148761368840654
Slc16a12;0.121960714265332;1.11E-18;1.30E-16;0.0950560326095538;0.148687350618916
Tnfrsf21;0.121118252642015;1.92E-18;2.22E-16;0.094208597276624;0.147851055850418
Nova1;0.121020337609773;2.05E-18;2.35E-16;0.0941101067048842;0.147753855080522
Gnao1;0.120544457536402;2.78E-18;3.18E-16;0.0936314369340399;0.14728143906276
Kirrel3;0.120156008965051;3.58E-18;4.06E-16;0.0932407204278008;0.14689580906721
A230057D06Rik;0.119762438894805;4.60E-18;5.20E-16;0.0928448609753846;0.146505086444258
Mid1ip1;0.118839278115707;8.30E-18;9.32E-16;0.091916363593217;0.145588571915566
Galnt7;0.117313660879517;2.18E-17;2.42E-15;0.0903820296843675;0.144073837646696
St6galnac5;0.117181080062363;2.36E-17;2.61E-15;0.0902486973993162;0.14394219667012
Stc1;0.11698462040914;2.67E-17;2.94E-15;0.0900511259882667;0.143747127940994
Cntn1;0.115792739693855;5.62E-17;6.14E-15;0.0888525459050554;0.142563641096089
Abcc8;0.115278866027396;7.71E-17;8.29E-15;0.0883358079075129;0.142053362789119
Zdbf2;0.11485301900632;1.00E-16;1.07E-14;0.0879075982037434;0.141630484458847
Khdrbs3;0.114660424228666;1.13E-16;1.19E-14;0.0877139381428975;0.141439229100141
Serpine2;0.113149537662987;2.83E-16;2.97E-14;0.0861947652019729;0.139938780783004
Spo11;0.113137830277358;2.85E-16;2.97E-14;0.0861829940972094;0.1399271537997
Gprasp2;0.113018298046633;3.07E-16;3.18E-14;0.0860628117257429;0.139808442052723
Tmem108;0.112528636412072;4.12E-16;4.25E-14;0.0855704949903356;0.139322133475674
Tspan5;0.112391019219363;4.48E-16;4.59E-14;0.0854321339632772;0.139185456318086
Fbxl3;0.111120889235611;9.56E-16;9.76E-14;0.084155187885004;0.137923954142367
Cd47;0.110933902226341;1.07E-15;1.09E-13;0.0839672048973582;0.137738229964696
Slit3;0.110633457939834;1.28E-15;1.28E-13;0.0836651643267324;0.137439810805024
Mpp2;0.110386361257786;1.48E-15;1.48E-13;0.0834167585140878;0.137194376016462
Ank2;0.109406687344798;2.63E-15;2.62E-13;0.0824319272254485;0.136221258680053
Foxp1;0.108720352125977;3.92E-15;3.88E-13;0.0817420102587655;0.135539486010778
Cd44;0.108161185507088;5.42E-15;5.34E-13;0.0811799446538308;0.134984017786884
Sv2a;0.107448568190466;8.18E-15;7.79E-13;0.080463657659889;0.134276089371604
AC149090.1;0.107420843864958;8.31E-15;7.88E-13;0.0804357911290813;0.134248546914053
Rgs9;0.107040676409554;1.03E-14;9.75E-13;0.0800536779506118;0.133870869126428
Ern1;0.106143348077602;1.72E-14;1.60E-12;0.0791517884848736;0.132979386372512
Alcam;0.105601589962841;2.34E-14;2.16E-12;0.0786072979965061;0.132441136477082
Slit2;0.105045898361727;3.20E-14;2.93E-12;0.0780488204794803;0.131889026877677
Cpa5;0.104056957680636;5.57E-14;5.02E-12;0.0770549637299095;0.130906419736937
Gm14964;0.104011956838396;5.71E-14;5.12E-12;0.0770097404628843;0.130861705841818
Acot7;0.104005751341162;5.73E-14;5.12E-12;0.0770035043025763;0.130855539905263
Chic1;0.103939493845525;5.94E-14;5.29E-12;0.0769369195420903;0.130789704678449
Fos;0.103542205225158;7.41E-14;6.56E-12;0.0765376736507528;0.130394943070258
Lmo3;0.103096565834995;9.48E-14;8.28E-12;0.0760898490904316;0.129952128102793
F730016J06Rik;0.102979423732333;1.01E-13;8.80E-12;0.0759721343957818;0.129835726658179
Gm3294;0.102946586396143;1.03E-13;8.92E-12;0.0759391366853947;0.129803096810807
Sgk2;0.102733230631926;1.16E-13;9.94E-12;0.0757247403542107;0.129591087757887
Dnaic1;0.102685480959234;1.19E-13;1.02E-11;0.0756767581414334;0.129543639147011
Fgf9;0.102631028840667;1.22E-13;1.04E-11;0.0756220409946322;0.12948953019909
Rasgrp1;0.102519912958717;1.30E-13;1.10E-11;0.0755103847963651;0.129379114100526
Pkd1;0.102323492596289;1.45E-13;1.22E-11;0.075313010969693;0.129183929120958
Gm9926;0.102244980510531;1.51E-13;1.27E-11;0.075234118362424;0.129105910253513
Mthfd1l;0.101806843754653;1.92E-13;1.60E-11;0.074793864314675;0.128670519796791
Malat1;0.101554976662703;2.20E-13;1.83E-11;0.0745407848439274;0.128420226753122
Jazf1;0.101451187419702;2.33E-13;1.92E-11;0.0744364970170069;0.128317085147251
Cd99l2;0.100923545862515;3.10E-13;2.53E-11;0.073906329907056;0.12779272704633
Dpp6;0.100788216768603;3.34E-13;2.72E-11;0.073770355521966;0.127658237670372
Cadm1;0.100562233191245;3.77E-13;3.05E-11;0.0735432966239593;0.127433654119924
Pcsk2;0.100539818693483;3.81E-13;3.08E-11;0.0735207756217062;0.127411378335589
Rtl4;0.100356547796431;4.21E-13;3.38E-11;0.0733366349303877;0.127229240604197
Gm45486;0.0996785551129379;6.05E-13;4.84E-11;0.0726554405420492;0.126555424202059
4930422I22Rik;0.0996264257832893;6.22E-13;4.94E-11;0.0726030660842764;0.126503614950416
Atp8a2;0.0996129460640405;6.26E-13;4.96E-11;0.0725895230034985;0.126490217973796
Spock1;0.0991321671841267;8.09E-13;6.33E-11;0.0721064907348914;0.126012383850011
Ptpn13;0.0988091629243168;9.60E-13;7.45E-11;0.071781979688179;0.125691350976603
Mmp16;0.0986699743778208;1.03E-12;7.99E-11;0.0716421436032045;0.125553010201412
Rock1;0.0983137143497653;1.25E-12;9.56E-11;0.0712842310080215;0.125198915323705
Tln2;0.0980890123730014;1.40E-12;1.07E-10;0.0710584902959183;0.124975575438188
Runx1t1;0.0980174059059484;1.46E-12;1.10E-10;0.0709865533936642;0.124904402460404
Egr3;0.0979401942713372;1.52E-12;1.15E-10;0.0709089857733029;0.124827657937417
