Differential motif activity beta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
1132;M03118_2.00;20.730915;1.2399216;1.82E-95;7.37E-95;M03118_2.00;;['Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Lhx1', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Dlx2', 'Msx3', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Lhx5', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Hoxb2', 'Hoxd3', 'Hoxa3']
1133;M02443_2.00;20.629997;1.1863333;1.48E-94;5.94E-94;M02443_2.00;;['Nfatc4', 'Nfatc2', 'Nfatc3', 'Nfatc1']
1134;M05261_2.00;20.61957;1.212022;1.83E-94;7.37E-94;M05261_2.00;;['A1JVI6_MOUSE', 'Lhx2', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Lhx1', 'Lhx9', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Dlx2', 'Esx1', 'Rax', 'Lbx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Lhx5', 'Pdx1', 'Nobox', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Gsx2', 'Alx1', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Noto', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Lhx8']
1135;M01001_2.00;20.615448;1.5998753;1.99E-94;8.02E-94;M01001_2.00;Jund;['Jun', 'Junb', 'Jund']
1136;M05703_2.00;20.5961;1.2294359;2.97E-94;1.19E-93;M05703_2.00;;['Nfatc4', 'Nfatc2', 'Nfatc3', 'Nfatc1']
1137;M08780_2.00;20.574455;1.1478403;4.65E-94;1.87E-93;M08780_2.00;Cebpd;['Cebpd']
1138;M00552_2.00;20.537254;1.3139596;1.00E-93;4.00E-93;M00552_2.00;Pou3f2;['Pou3f2']
1139;M00544_2.00;20.537254;1.3139596;1.00E-93;4.00E-93;M00544_2.00;Pou2f2;['Pou2f2']
1140;M09490_2.00;20.528841;1.8493723;1.19E-93;4.75E-93;M09490_2.00;;['Fosb', 'Fos', 'Fosl1', 'Fosl2']
1141;M04287_2.00;20.526;1.7785877;1.26E-93;5.03E-93;M04287_2.00;;['Atf3', 'Jdp2']
1142;M11371_2.00;20.481913;1.2073433;3.12E-93;1.24E-92;M11371_2.00;;['Stat5a', 'Stat5b']
1143;M02830_2.00;20.477507;1.1619835;3.42E-93;1.36E-92;M02830_2.00;;['Creb3l1', 'Creb3']
1144;M05474_2.00;20.463846;1.2677879;4.52E-93;1.79E-92;M05474_2.00;;['Pou3f2']
1145;M06359_2.00;20.462175;1.3577205;4.68E-93;1.86E-92;M06359_2.00;;['Hhex']
1146;M07827_2.00;20.44771;1.9335296;6.30E-93;2.49E-92;M07827_2.00;;['Fosb', 'Fos', 'Fosl1', 'Fosl2']
1147;M05185_2.00;20.4338;1.4138749;8.37E-93;3.31E-92;M05185_2.00;;['Nkx6-1', 'Nkx6-2', 'Nkx6-3']
1148;M05184_2.00;20.4338;1.4138749;8.37E-93;3.31E-92;M05184_2.00;;['Nkx6-1', 'Nkx6-2', 'Nkx6-3']
1149;M05215_2.00;20.4338;1.4138749;8.37E-93;3.31E-92;M05215_2.00;;['Lhx2', 'Sebox', 'Phox2a', 'Phox2b', 'Alx3', 'Lhx9', 'Vsx2', 'Otp', 'Rax', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Uncx', 'Nobox', 'Isx', 'Vsx1', 'Arx', 'Alx1', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Prop1', 'En1', 'Lhx8']
1150;M09671_2.00;20.4338;1.4138749;8.37E-93;3.31E-92;M09671_2.00;;['Hoxb6', 'Hoxa10', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8']
