Differentiable motif activity delta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
3725;M04391_2.00;-0.4116536;-0.034791775;0.680593327157992;0.732478215735176;M04391_2.00;;['Zbtb32']
3726;M01679_2.00;-0.41169882;-0.05748328;0.680560197901857;0.732478215735176;M01679_2.00;;['Setbp1', 'Ahctf1', 'Hmga1', 'Hmga2', 'Phf21a', 'Hmga1-rs1']
3727;M04313_2.00;-0.41219592;-0.050464064;0.680195816778925;0.732419486017073;M04313_2.00;;['Creb3l1', 'Creb3l2']
3728;M01667_2.00;-0.4150657;-0.041974977;0.678093805726301;0.730441724456023;M01667_2.00;;['Arid3b', 'Arid3a', 'Arid3c']
3729;M02452_2.00;-0.41619554;0.14026885;0.677266928034107;0.729812453896635;M02452_2.00;;['Rfx6', 'Rfx4', 'Rfx2', 'Rfx1', 'Rfx3', 'Rfx8']
3730;M03742_2.00;-0.4185004;-0.011493109;0.675581303857671;0.728126516379935;M03742_2.00;;['Foxg1', 'Foxj3', 'Foxf2', 'Foxf1', 'Foxe3', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
3731;M07986_2.00;-0.41861337;-0.033514727;0.675498716945762;0.728126516379935;M07986_2.00;;['Nr3c1', 'Nr3c2', 'Pgr', 'Ar']
3732;M01693_2.00;-0.41886193;-0.021399038;0.675317039489748;0.728102666814511;M01693_2.00;;['Setbp1', 'Ahctf1', 'Hmga1', 'Hmga2', 'Phf21a', 'Hmga1-rs1']
3733;M03146_2.00;-0.41929126;-0.004739109;0.675003277529784;0.728102666814511;M03146_2.00;;['Otx1', 'Gsc', 'Pitx1', 'Otx2', 'Gsc2', 'Pitx3', 'Pitx2', 'Dmbx1', 'Crx', 'Obox6', 'Obox1', 'Obox3', 'Rhox9', 'Obox5', 'ENSMUSG00000097436']
3734;M01676_2.00;-0.4230649;-0.061710496;0.672247910131255;0.725443913785998;M01676_2.00;;['Setbp1', 'Ahctf1', 'Hmga1', 'Hmga2', 'Phf21a', 'Hmga1-rs1']
3735;M01931_2.00;-0.4284429;-0.011450206;0.668328702679918;0.721473490920306;M01931_2.00;;['Dmrtc2', 'Dmrt1', 'Dmrtb1', 'Dmrt3', 'Dmrta1', 'Dmrta2', 'Dmrt2']
3736;M01689_2.00;-0.42943713;-0.013663196;0.667605128503135;0.72095120179886;M01689_2.00;;['Setbp1', 'Ahctf1', 'Hmga1', 'Hmga2', 'Phf21a', 'Hmga1-rs1']
3737;M05713_2.00;-0.42997947;-0.038021795;0.667210581830076;0.720654532889022;M05713_2.00;;['Nfatc4', 'Nfatc2', 'Nfatc3', 'Nfatc1']
3738;M07868_2.00;-0.43194535;-0.027243437;0.665781121984746;0.719239746293562;M07868_2.00;;['Ctcf']
3739;M00207_2.00;-0.4328944;-0.06820794;0.665091471903734;0.718712500785335;M00207_2.00;Tcf7l1;['Tcf7', 'Tcf7l2', 'Lef1', 'Tcf7l1']
3740;M04787_2.00;-0.43293962;-0.033752184;0.6650586384856;0.718712500785335;M04787_2.00;;['Elf3', 'Ehf', 'Elf5', 'Etv6', 'Elf4', 'Elf1', 'Elf2']
3741;M00508_2.00;-0.43348193;-0.048142917;0.66466468759155;0.718679149797839;M00508_2.00;Hoxc12;['Hoxa10', 'Meox1', 'Hoxc11', 'Hoxd12', 'Hoxc10', 'Hoxa11', 'Hoxd11', 'Hoxc12', 'Hoxd10']
3742;M04513_2.00;-0.43479255;-0.065306745;0.663713022082246;0.717779197051363;M04513_2.00;;['Klf15']
3743;M03515_2.00;-0.43806905;-0.034684744;0.661336233079542;0.715337429089994;M03515_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
3744;M02020_2.00;-0.43947002;-0.04361192;0.660320990153126;0.714496299888611;M02020_2.00;;['Gcm2', 'Gcm1']
3745;M02395_2.00;-0.44175228;-0.041871525;0.658668465519963;0.712964750114661;M02395_2.00;;['Nr3c1', 'Nr3c2', 'Pgr', 'Ar']
3746;M05813_2.00;-0.4437182;-0.02187462;0.657246338436435;0.711553461630373;M05813_2.00;;['Tbx4', 'Tbx5', 'Tbx15', 'Tbx20', 'Tbx18']
3747;M08092_2.00;-0.4449158;-0.051312704;0.65638059266458;0.710744127526969;M08092_2.00;;['Sp2']
3748;M00249_2.00;-0.4488702;-0.061383944;0.653525278939661;0.707907245594942;M00249_2.00;;['Wt1']
3749;M05894_2.00;-0.4523501;-0.07395012;0.651016790395822;0.705698445825608;M05894_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
3750;M04861_2.00;-0.4537285;-0.026596082;0.650024257918517;0.704784845119169;M04861_2.00;;['Gata6', 'Gata2', 'Gata3', 'Gata5', 'Gata4', 'Gata1']
3751;M00143_2.00;-0.4596488;-0.071243405;0.645768324771474;0.70101998288369;M00143_2.00;Zfp740;['Zfp740']
3752;M02857_2.00;-0.46046227;-0.27012113;0.645184441198522;0.700639080781494;M02857_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
3753;M05518_2.00;-0.4649364;-0.05865979;0.64197699837911;0.697533815402343;M05518_2.00;;['Hsfy2', 'Hsf5']
3754;M04363_2.00;-0.46712828;-0.21412162;0.64040810470319;0.695954886462772;M04363_2.00;;['Maff']
3755;M11230_2.00;-0.46803215;-0.06210828;0.639761605454253;0.695629415151307;M11230_2.00;;['Nfkb1']
3756;M03508_2.00;-0.4722351;-0.069743425;0.63675898244369;0.692615033535242;M03508_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
3757;M02905_2.00;-0.4722351;-0.032723807;0.63675898244369;0.692615033535242;M02905_2.00;;['Zfp524']
3758;M10572_2.00;-0.47408804;-0.03424682;0.63543713391629;0.691427342748791;M10572_2.00;;['Foxq1', 'Foxs1']
3759;M01087_2.00;-0.47573757;-0.073033355;0.634261342787336;0.690897974193631;M01087_2.00;;['Lin54']
3760;M04455_2.00;-0.47585055;-0.019024432;0.634180842870898;0.690897974193631;M04455_2.00;;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
3761;M09287_2.00;-0.47876552;-0.10372046;0.632105443503866;0.689048783257613;M09287_2.00;;['Rxrg', 'Rxra', 'Hnf4g', 'Hnf4a', 'Nr2e1', 'Nr2f2', 'Rxrb', 'Nr6a1', 'Nr2f1']
3762;M09307_2.00;-0.47876552;-0.10372046;0.632105443503866;0.689048783257613;M09307_2.00;Hnf4g;['Rxrg', 'Rxra', 'Hnf4g', 'Hnf4a', 'Nr2e1', 'Nr2f2', 'Rxrb', 'Nr6a1', 'Nr2f1']
3763;M09241_2.00;-0.4788559;-0.040272497;0.632041136230394;0.689048783257613;M09241_2.00;Irf3;['Irf3']
3764;M09234_2.00;-0.4788559;-0.040272497;0.632041136230394;0.689048783257613;M09234_2.00;;['Irf3']
3765;M03764_2.00;-0.47899148;-0.061973814;0.631944680538984;0.689048783257613;M03764_2.00;;['Gcm2']
3766;M05516_2.00;-0.48504737;-0.04948616;0.627642734902748;0.685177601689077;M05516_2.00;;['Hsfy2', 'Hsf5']
3767;M00199_2.00;-0.48608682;-0.064805366;0.626905606655032;0.684497152945418;M00199_2.00;Sox17;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
3768;M04597_2.00;-0.48843688;-0.06627383;0.625240429321787;0.683051033958442;M04597_2.00;;['Zfp41']
3769;M03756_2.00;-0.49648127;-0.054853547;0.619554903151668;0.677701561941458;M03756_2.00;;['Gata6', 'Gata2', 'Gata3', 'Gata5', 'Gata4', 'Gata1']
3770;M01903_2.00;-0.50439006;-0.07734074;0.613987291205369;0.672467595940464;M01903_2.00;;['Ybx2', 'Ybx1', 'Ybx3']
3771;M02709_2.00;-0.50714684;-0.059861813;0.612051777265327;0.670469833966061;M02709_2.00;;['Pparg', 'Rarg', 'Ppard', 'Nr2f6', 'Nr2c2', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Hnf4g', 'Hnf4a', 'Thrb', 'Ppara', 'Nr4a1', 'Nr5a2', 'Nr5a1', 'Nr4a2', 'Rorc', 'Nr4a3', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Nr1h4', 'Thra', 'Nr6a1', 'Nr2f1']
3772;M05490_2.00;-0.5114628;-0.09076868;0.609027022251941;0.667521143033201;M05490_2.00;;['Pou3f1']
3773;M10693_2.00;-0.5115984;-0.07562469;0.608932111601703;0.667521143033201;M10693_2.00;;['Hnf1b', 'Hmbox1', 'Hnf1a']
3774;M11192_2.00;-0.513022;-0.016471352;0.607935947468555;0.66668978630122;M11192_2.00;;['Pparg', 'Rarg', 'Ppard', 'Nr2f6', 'Nr2c2', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Hnf4g', 'Hnf4a', 'Thrb', 'Ppara', 'Nr4a1', 'Nr5a2', 'Nr5a1', 'Nr4a2', 'Rorc', 'Nr4a3', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Nr1h4', 'Thra', 'Nr6a1', 'Nr2f1']
3775;M05750_2.00;-0.5146715;-0.03077321;0.606782571726302;0.665546304279041;M05750_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
3776;M00550_2.00;-0.5182644;-0.08822199;0.604273815289022;0.662915491635932;M00550_2.00;Pou3f4;['Pou3f4']
3777;M03528_2.00;-0.52538234;-0.057914;0.5993174421473;0.657838126861446;M03528_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
3778;M08090_2.00;-0.5261506;-0.013862005;0.598783571510981;0.657372106437941;M08090_2.00;;['Zfp384']
3779;M09313_2.00;-0.5295627;-0.03307805;0.596415167956221;0.655130743395198;M09313_2.00;Nr1d2;['Pparg', 'Rarg', 'Ppard', 'Nr2c2', 'Nr2c1', 'Rarb', 'Nr1d1', 'Nr1d2', 'Ppara', 'Rorc', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Nr2f1']
3780;M04809_2.00;-0.53299737;-0.053070243;0.594035397854154;0.65311314126049;M04809_2.00;;['Foxj2', 'Foxj3', 'Foxj1', 'Foxk2', 'Foxp3', 'Foxi1', 'Foxi2', 'Foxi3']
3781;M03036_2.00;-0.5335623;-0.07078444;0.593644404579109;0.653041421097268;M03036_2.00;;['Foxg1', 'Foxp1', 'Foxj3', 'Foxf2', 'Foxk2', 'Foxf1', 'Foxc2', 'Foxi1', 'Foxc1', 'Foxl2', 'Foxd4', 'Foxd2', 'Foxi3', 'Foxd3', 'Foxe1', 'Foxs1', 'Foxd1', 'Gm5294', 'Foxl1']
3782;M03553_2.00;-0.53460175;-0.058536675;0.592925284896016;0.65248905093589;M03553_2.00;;['Tbx2', 'Tbx4', 'Tbx5', 'Tbx3', 'Tbx20', 'Eomes']
3783;M06211_2.00;-0.53907585;-0.014599115;0.589834511202672;0.649444297029087;M06211_2.00;;['Hoxb6', 'Hoxa10', 'Hoxc11', 'Hoxc8', 'Hoxc6', 'Hoxd12', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Hoxc9', 'Hoxa11', 'Hoxa9', 'Hoxd11', 'Hoxa6', 'Hoxd9', 'Hoxc12', 'Hoxd10', 'Hoxb8']
3784;M07867_2.00;-0.5418326;-0.028825559;0.587933799538259;0.64770724865783;M07867_2.00;;['Ctcf']
