Thomas_ID;Progressive_ID;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0;Infill;Putative;_EL_mean;_EL_median;_EL_min;_EL_max;X;Y
8166;376;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;-1132.35676992691;-1138.5;-1712;-453;-29.684;26.946
8168;377;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;415.868421052632;427;115.5;640.5;-36.47;-18.263
8169;378;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;-807.787044220326;-761;-1084;-309.5;-22.847;23.277
8170;379;0;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;591.706896551724;565;370;821.5;-31.104;22.153
8171;380;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;957.434761441091;1008.5;253.5;1567.5;-24.826;-27.684
8173;381;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;1278.303732658;1126;168.5;3213.5;-31.324;-11.334
8174;382;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;-34.5017006802721;-71.5;-344;454.5;-44.773;-5.455
8176;383;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;1;-411.587543554007;-469.25;-634;972;-37.988;-11.77
8177;384;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;553.375461481664;575.5;358.5;753;-21.181;17.784
8181;385;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;-1410.83823529412;-1515;-1968;-619;-39.624;0.165
8182;386;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;-1092.10472972973;-1077.25;-1508;-669.5;-36.489;1.277
8184;387;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;-1319.1351981352;-1290.5;-1760.5;-1113.5;-44.278;12.194
8185;388;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1652.45833333333;1654.5;1567;1686.5;-15.907;-24.649
8186;389;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;2001.51082543978;2004;1581.5;2415.5;-16.267;-27.482
8187;390;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;-1201.50915750916;-1389;-1529;-687;-43.388;10.536
8188;391;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;860.856699965553;885.5;501;1051.5;-21.471;10.411
8190;392;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;148.645971302428;131.5;22;982;-23.76;6.216
8191;393;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1029.51644736842;1045.25;864;1156.5;-25.949;9.116
8192;394;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1373.91120401338;1482.5;810;2097;-27.619;12.894
8193;395;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1242.27906976744;1260;1078;1323.5;-25.991;12.447
8194;396;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;969.148148148148;979;886;1035.5;-26.824;14.415
8195;397;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1281.20980453972;1298.5;621;1929;-30.18;16.634
8196;398;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;235.465841161401;224.5;142.5;410.5;-25.494;5.212
8197;399;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;-965.256679389313;-955.5;-1310;-631;-35.026;9.432
8201;400;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;129.672839506173;-1.75;-575;1083.5;-35.707;12.398
8202;401;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;504.632736156352;501.5;465.5;582.5;-26.248;-1.443
8204;402;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;-555.36880733945;-588;-641;-368.5;-25.008;38.585
1006;403;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;;1;-1720.85420315236;-1717;-1816.5;-1612;-57.043;51.071
1011;404;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;665.052200614125;625;-162;1782;-53.046;59.264
1012;405;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;529.169421487603;524.25;38.5;1057;-58.962;31.905
1018;406;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;-1168.40242510699;-1152;-1483;-878;-51.216;7.605
1021;407;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;-182.027259684362;-185.5;-1592.5;1066.5;-54.088;58.697
1035;408;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;-1326.19343065693;-1410;-1511;-591.5;-53.321;-14.677
1063;409;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;-567.854966139955;-367.75;-2035;167;-59.729;-4.719
2028;410;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;;1;-517.578947368421;-518.5;-535.5;-492.5;-1.283;54.097
2047;411;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;0;1;934.460416666667;942.75;375;1453.5;-6.043;28.622
1032;412;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;;1;639.831223628692;728.5;115.5;819.5;-48.633;-3
3001;413;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;-739.986851990984;-806.5;-1021;-128;81.12;19.662
3009;414;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;-331.436305732484;-134;-2145.5;234;92.057;-36.699
4006;415;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;376.942097957565;292;34;1641;164.137;14.955
4006;416;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;399.849816849817;407.5;298;498.5;165.215;15.392
4008;417;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;-272.708737864078;-276.5;-590.5;-30;172.155;71.436
6017;418;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;-424.262333890348;-467;-838.5;958;118.93;63.031
6058;419;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;634.357142857143;690;313;866.5;109.456;4.469
6058;420;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;658.5625;659.25;595.5;716;109.587;5.629
6068;421;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;876.994100294985;860;683;1136.5;154.494;17.911
6088;422;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;-413.814159292035;-371;-850.5;-164.5;141.441;26.408
6088;423;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;;1;334.065597667638;412;-247.5;752;140.7;26.964
6144;424;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;335.11273364486;313.75;144;535.5;142.685;22.493
7006;425;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;;1;476.191318327974;476;319;661;-143.785;31.119
1000;426;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;174.332493702771;189;-64;390;-55.336;45.349
1002;427;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;-1490.13209331652;-1504.5;-1841;-1126;-59.641;48.709
1003;428;0;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;1;-665.020234604106;-822.25;-1288;417;-59.486;42.306
1007;429;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;-1093.76234003656;-945.5;-2088;-167;-52.64;48.838
1010;430;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;-629.74275862069;-586;-1008.5;-480;-54.241;29.76
1082;431;0;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;1;565.633507853403;539.5;247.5;963.5;-44.888;38.568
2047;432;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1204.73676612127;1303.5;-51.5;1934;-8.891;32.094
2047;433;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;965.028596187175;811;352.5;1541.5;-16.213;29.907
2047;434;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0;1;866.849802970597;814;577.5;1870.5;-12.266;29.054
8064;435;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;960.495692511597;760.5;202;2396.5;-16.273;35.132
