INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
110 (UE 361  INV 15);67;5;3.8;2;2;0.0421;
103 (UE 163  INV 16);2;5.1;2;1.9;1.1;0.0422;
111 (UE 355 INV 1);4;5;2;1.9;1;0.0423;
110 (UE 361  INV 15);18;4.5;3;2;1.9;0.0423;
PAÑO (UE 175  INV: 23) ;90;4.5;2.2;1.8;1.2;0.0426;
PAÑO (UE 339  INV: 2);58;4.2;1.5;1.2;1.1;0.0427;
110 (UE 361  INV 15);56;5;2.8;2.5;1.5;0.0427;
PAÑO (UE 175  INV: 23) ;42;5;3;2.2;1.5;0.0427;
343 (UE 344  INV 1);30;4.5;2;1.5;1.2;0.0428;
PAÑO (UE 175  INV: 24) ;25;6;2.1;2;1.1;0.0428;
110 (UE 361  INV 15);59;4.9;3.1;2;1.9;0.0428;
101 y 102 (UE 94 y 95  INV 94 y 95);84;5;1.9;1.8;1.2;0.0429;
PAÑO (UE 339  INV: 2);5;5;1.2;1.2;1;0.0431;
PAÑO (UE 339  INV: 2);10;4.5;1.2;1.2;1.1;0.0432;
PAÑO (UE 339  INV: 2);41;4.7;2.3;2.2;1.6;0.0432;
PAÑO (UE 374  INV: 1);30;5.2;2.8;2;1;0.0434;
PAÑO (UE 339  INV: 2);89;5;2;1.9;1.2;0.0435;
114 (UE 167  INV 6);33;6;1.5;1;0.9;0.0436;
PAÑO (UE 374  INV: 1);66;5;2.4;2;1.2;0.0436;
110 (UE 361  INV 15);70;5.2;2.5;2.2;1.2;0.0438;
104 (UE 104  INV: 3);38;5.5;3.1;2;1.2;0.0439;
110 (UE 361  INV 15);42;5;2.7;2.5;1.9;0.044;
103 (UE 163  INV 16);79;5.2;2;1.9;1.5;0.0441;
PAÑO (UE 339  INV: 2);62;5;2.1;1.8;1.1;0.0441;
 102 (UE 94  INVs: 89, 93, 90 y 88);48;4.3;2.5;2.2;1.4;0.0441;
PAÑO (UE 175  INV: 23) ;79;4.2;2.8;2.5;2;0.0441;
110 (UE 361  INV 15);8;5.8;3;2.4;1.4;0.0441;
PAÑO (UE 374  INV: 1);77;5;1.5;1;1.1;0.0443;
105 (UE 105  INV: 3);78;5;1.7;1.1;1.2;0.0444;
 102 (UE 94  INVs: 89, 93, 90 y 88);18;5;2.1;1.9;1.3;0.0444;
110 (UE 361  INV 15);78;4.1;2;1.8;1.3;0.0445;
101 y 102 (UE 94 y 95  INV 94 y 95);21;4.1;2.1;2;1.9;0.0446;
110 (UE 361  INV 15);82;4.9;2;1.9;1.5;0.0447;
PAÑO (UE 374  INV: 1);59;4.9;3;2.1;1.5;0.0447;
PAÑO (UE 175  INV: 23) ;34;4.7;3.8;2.7;2;0.0448;
110 (UE 361  INV 15);94;4.1;2.2;1.8;1.8;0.0449;
103 (UE 163  INV 16);26;5.8;3;1.9;2.1;0.0449;
110 (UE 361  INV 15);24;4.9;3;4.5;1.9;0.0449;
PAÑO (UE 374  INV: 1);85;4.9;2;1.5;1.5;0.0451;
111 (UE 355 INV 1);99;6;2.2;1.8;1;0.0451;
PAÑO (UE 175  INV: 23) ;71;4.5;2.7;2.6;1.9;0.0451;
101 y 102 (UE 94 y 95  INV 94 y 95);56;4.9;2;1.9;1.1;0.0452;
111 (UE 355 INV 1);54;4.8;2.5;2.4;2;0.0452;
PAÑO (UE 374  INV: 1);69;5;2;1.9;1.5;0.0453;
PAÑO (UE 175  INV: 24) ;67;4.5;2;2;1.1;0.0454;
PAÑO (UE 374  INV: 1);32;4.5;2;2;1.1;0.0454;
101 y 102 (UE 94 y 95  INV 94 y 95);16;4.3;2.5;2;1.9;0.0454;
101 y 102 (UE 94 y 95  INV 94 y 95);7;4.8;2;1.7;1.8;0.0455;
PAÑO (UE 339  INV: 2);98;5.2;2.2;2.1;1;0.0456;
110 (UE 361  INV 15);48;4.8;2.6;2.5;1.9;0.0456;
105 (UE 105  INV: 3);33;6;3;2.1;1.8;0.0456;
111 (UE 355 INV 1);100;4.6;2.5;2.2;1.2;0.0457;
101 y 102 (UE 94 y 95  INV 94 y 95);5;5.8;2;2;1.6;0.0458;
PAÑO (UE 175  INV: 24) ;53;5.9;2;2;1.1;0.0458;
108 (UE 95  INV 8);93;5.9;2.2;2.1;1.1;0.0458;
PAÑO (UE 339  INV: 2);80;5;2.5;2.1;1.1;0.0458;
110 (UE 361  INV 15);60;4.8;2.6;2.3;1.8;0.0458;
356 (UE 357);3;6.1;3;2.3;1.8;0.0458;
101 y 102 (UE 94 y 95  INV 94 y 95);32;4.9;2.2;2;1.5;0.0459;
